AC,CB,G,MnO2,Pour Density,Surface Area,Dry Conductivity,Electrolye Uptake,Water Uptake,Voltage Drop,Cell Resistance,Wet Conductivity,Max Current,Capacity
40,0,60,0,0.48072093,50.5068,0.415381274,21.93877551,42.81609195,0.093288949,109.377515,0.853920945,1.985882353,0.0625
70,30,0,0,0.611862791,81.237,0.374146666,22.40802676,38.93442623,0.061232176,57.06650024,1.599500409,2.588088235,0.2025
40,50,10,0,0.565337209,57.2428,1.139189384,20.24793388,32.71221532,0.02266617,8.28985335,7.614999081,6.110882353,0.4025
60,20,20,0,0.568148837,70.9936,0.440565051,19.14893617,43.16939891,0.049263677,42.48758649,2.034220348,2.996470588,0.25
10,50,40,0,0.484965116,30.5542,2.683005525,18.37160752,38.00424628,0.028216242,10.2156897,6.767052911,4.943382353,0.1275
20,20,60,0,0.460986047,35.4088,1.811520979,9.333333333,40.59405941,0.039744433,27.81976798,3.320935071,3.532205882,0.15
45,15,40,0,0.519501163,56.9757,0.238737022,17.43341404,40.12345679,0.074980415,79.92158701,1.33701842,1.931617647,0.055
20,55,25,0,0.520217442,40.124,1.043711592,13.84083045,22.3880597,0.074988269,89.26146008,1.253721154,2.625147059,0.13
10,35,55,0,0.459580233,28.5334,1.613304778,7.901234568,23.99049881,0.043179746,29.31769453,3.343453759,3.317205882,0.075
30,70,0,0,0.572393023,51.041,1.076975189,15.24926686,30.10033445,0.030085968,19.81977004,3.836857199,4.838823529,0.06
100,0,0,0,0.641465116,103.884,0.043541527,35.41666667,53.7037037,0.203793333,406.5080251,0.214577349,0.73,0
0,100,0,0,0.542790698,28.394,1.165006548,10.67285383,23.40909091,0.061392361,46.73731105,1.688317829,2.292941176,0.02
0,0,100,0,0.37355814,14.922,0.741020452,14.70588235,24.00990099,0.167495139,281.7310186,0.386935129,0.980588235,0.005
10,85,5,0,0.544196512,35.2694,1.64703924,10.07194245,25.26315789,0.033429044,15.50520472,4.994731659,4.0825,0.135
15,70,15,0,0.532206977,37.6967,1.661495441,9.756097561,20.34313725,0.033264325,17.0029742,4.820428101,4.118382353,0.165
0,70,30,0,0.49202093,24.3524,3.000581812,7.692307692,11.8902439,0.068290359,54.85127,1.766373777,2.03,0.015
0,30,70,0,0.424327907,18.9636,2.984793696,7.286432161,17.98029557,0.082477679,76.14265405,1.319813411,1.725441176,0.01
55,35,10,0,0.580138372,68.5663,0.513566896,15.38461538,31.7961165,0.046753678,34.13328407,2.713662879,3.137205882,0.22
